Frame,dx,dy
501,0.0062982705,-0.0010550306
502,0.008599994,-0.0013126441
503,0.0113316355,-0.00020146299
504,0.010486305,-0.0023080998
505,0.019244593,0.00517281
506,0.018599147,0.004064585
507,0.021485362,0.0032489235
508,0.021572545,0.0031512973
509,0.013678894,-0.005102645
510,0.012383658,-0.0068538357
511,0.017818332,-0.012853918
512,0.018893402,-0.014562826
513,0.01434758,-0.010298697
514,0.013594776,-0.010880461
515,0.022350058,-0.005443598
516,0.019268548,-0.0067513417
517,-0.007693136,-0.02398952
518,-0.0054577678,-0.02373485
519,0.01849742,-0.01273742
520,0.018997323,-0.012773702
521,0.07440652,0.013842771
522,0.072670914,0.012191376
523,0.018127715,-0.024409866
524,0.019973509,-0.022848466
525,0.02295892,-0.019744426
526,0.024513174,-0.020565506
527,0.01361642,-0.02254084
528,0.016800022,-0.026134783
529,0.0033679435,-0.037041437
530,0.0026661535,-0.036764774
531,-0.0041445745,-0.04412586
532,-0.0036144,-0.044911027
533,0.00023310867,-0.049420167
534,-0.0021305722,-0.0501518
535,-0.0028228404,-0.051780265
536,-0.0025164369,-0.052911557
537,-0.0013248436,-0.05472763
538,-0.0022249673,-0.054986067
539,0.0016158964,-0.05630307
540,8.121514e-05,-0.05689329
541,0.0043801847,-0.059892103
542,0.0034987617,-0.059210945
543,0.0013878607,-0.0595257
544,0.0023297316,-0.060289133
545,0.0013415586,-0.06908055
546,0.0012349199,-0.07102296
547,-0.0037293225,-0.07368034
548,-0.003478754,-0.075555064
549,0.0058171633,-0.0802242
550,0.0033096906,-0.078774646
551,0.0046782303,-0.087024644
552,0.0046651713,-0.087108195
553,0.005379358,-0.08958267
554,0.006154376,-0.09045855
555,0.011545087,-0.09054886
556,0.012487499,-0.0895415
557,0.017872084,-0.08694044
558,0.016136823,-0.085101366
559,0.021021863,-0.08337456
560,0.022065002,-0.085000485
561,0.024599949,-0.08660592
562,0.021082064,-0.08460092
563,0.018969154,-0.077791445
564,0.015145885,-0.075254194
565,0.013813516,-0.06428629
566,0.015191404,-0.06254762
567,0.012928073,-0.056523692
568,0.009944366,-0.056598905
569,0.010969644,-0.045922723
570,0.010805011,-0.046286188
571,0.0025736531,-0.045778707
572,0.005171738,-0.048912913
573,-0.0026788188,-0.035629004
574,-0.0028424198,-0.03569926
575,-0.008512186,-0.037785012
576,-0.008574378,-0.038270928
577,0.0015154099,-0.038565867
578,0.0035959738,-0.039048847
579,0.004637607,-0.03500255
580,0.0047598537,-0.035349093
581,-0.0013484586,-0.033998355
582,-0.00097083946,-0.034042932
583,-0.009002913,-0.03760731
584,-0.010974529,-0.037415136
585,-0.010402158,-0.048532195
586,-0.010110188,-0.04923389
587,-0.007345382,-0.045771338
588,-0.008741135,-0.04379861
589,-0.021608379,-0.047087718
590,-0.021914797,-0.046197046
